fetched from: https://autoconfig.thunderbird.net/v1.1/, updated at: 2025-01-23
domain;imap_host:imap_port;imap_login_template
gmx.info;imap.gmx.net:993;%EMAILADDRESS%
gmx.it;imap.gmx.com:993;%EMAILADDRESS%
mein.gmx;imap.gmx.net:993;%EMAILADDRESS%
gmx.sg;imap.gmx.com:993;%EMAILADDRESS%
gmx.com.tr;imap.gmx.com:993;%EMAILADDRESS%
googlemail.com;imap.gmail.com:993;%EMAILADDRESS%
nyu.edu;imap.gmail.com:993;%EMAILADDRESS%
gransy.com;imap.gransy.com:993;%EMAILADDRESS%
infile.dk;imap.jubii.dk:993;%EMAILADDRESS%
privatmail.dk;imap.jubii.dk:993;%EMAILADDRESS%
madsen.dk;imap.jubii.dk:993;%EMAILADDRESS%
sporty.dk;imap.jubii.dk:993;%EMAILADDRESS%
jubiigames.dk;imap.jubii.dk:993;%EMAILADDRESS%
soon.com;imap.mail.com:993;%EMAILADDRESS%
dr.com;imap.mail.com:993;%EMAILADDRESS%
california.usa.com;imap.mail.com:993;%EMAILADDRESS%
illinois.usa.com;imap.mail.com:993;%EMAILADDRESS%
australiamail.com;imap.mail.com:993;%EMAILADDRESS%
outlook.co.il;outlook.office365.com:993;%EMAILADDRESS%
hotmail.co.kr;outlook.office365.com:993;%EMAILADDRESS%
outlook.be;outlook.office365.com:993;%EMAILADDRESS%
outlook.hu;outlook.office365.com:993;%EMAILADDRESS%
outlook.com.au;outlook.office365.com:993;%EMAILADDRESS%
hotmail.com.hk;outlook.office365.com:993;%EMAILADDRESS%
livemail.tw;outlook.office365.com:993;%EMAILADDRESS%
live.nl;outlook.office365.com:993;%EMAILADDRESS%
hotmail.be;outlook.office365.com:993;%EMAILADDRESS%
msn.com;outlook.office365.com:993;%EMAILADDRESS%
outlook.at;outlook.office365.com:993;%EMAILADDRESS%
outlook.sa;outlook.office365.com:993;%EMAILADDRESS%
hippie.dk;imap.jubii.dk:993;%EMAILADDRESS%
mac.com;imap.mail.me.com:993;%EMAILLOCALPART%
me.com;imap.mail.me.com:993;%EMAILLOCALPART%
iiyama-catv.ne.jp;imap.iiyama-catv.ne.jp:993;%EMAILADDRESS%
trustme.dk;imap.jubii.dk:993;%EMAILADDRESS%
minprivatemail.dk;imap.jubii.dk:993;%EMAILADDRESS%
petersen.dk;imap.jubii.dk:993;%EMAILADDRESS%
ispgateway.de;sslin.df.eu:993;%EMAILADDRESS%
tastmig.dk;imap.jubii.dk:993;%EMAILADDRESS%
e-mail.dk;imap.jubii.dk:993;%EMAILADDRESS%
janis.or.jp;imaps.janis.or.jp:993;%EMAILADDRESS%
contractor.net;imap.mail.com:993;%EMAILADDRESS%
comic.com;imap.mail.com:993;%EMAILADDRESS%
jet.ne.jp;imap.jet.ne.jp:993;%EMAILLOCALPART%
christiansen.dk;imap.jubii.dk:993;%EMAILADDRESS%
kvalme.dk;imap.jubii.dk:993;%EMAILADDRESS%
mikaelsen.dk;imap.jubii.dk:993;%EMAILADDRESS%
fald.dk;imap.jubii.dk:993;%EMAILADDRESS%
mailroyal.dk;imap.jubii.dk:993;%EMAILADDRESS%
winning.com;imap.mail.com:993;%EMAILADDRESS%
reggaefan.com;imap.mail.com:993;%EMAILADDRESS%
tip.nl;imap.kpnmail.nl:993;%EMAILADDRESS%
hardworking.dk;imap.jubii.dk:993;%EMAILADDRESS%
kulturel.dk;imap.jubii.dk:993;%EMAILADDRESS%
sofort-start.de;imap.1und1.de:993;%EMAILADDRESS%
netbruger.dk;imap.jubii.dk:993;%EMAILADDRESS%
blu.it;imapmail.libero.it:993;%EMAILADDRESS%
inwind.it;imapmail.libero.it:993;%EMAILADDRESS%
hotmail.es;outlook.office365.com:993;%EMAILADDRESS%
hotmail.co.za;outlook.office365.com:993;%EMAILADDRESS%
hotmail.co.jp;outlook.office365.com:993;%EMAILADDRESS%
