fetched from: https://autoconfig.thunderbird.net/v1.1/, enriched, updated at: 2022-10-11
domain;smtp_host:smtp_port;smtp_login_template
wp.pl;smtp.wp.pl:465;%EMAILADDRESS%
poczta.onet.pl;smtp.poczta.onet.pl:587;%EMAILADDRESS%
o2.pl;poczta.o2.pl:587;%EMAILADDRESS%
republika.pl;smtp.poczta.onet.pl:587;%EMAILADDRESS%
outlook.pt;smtp.office365.com:587;%EMAILADDRESS%
yandex.ru;smtp.yandex.com:465;%EMAILADDRESS%
sapo.pt;smtp.sapo.pt:465;%EMAILADDRESS%
inbox.ru;smtp.mail.ru:587;%EMAILADDRESS%
yahoo.se;smtp.mail.yahoo.com:465;%EMAILADDRESS%
yandex.ua;smtp.yandex.com:465;%EMAILADDRESS%
yahoo.co.uk;smtp.mail.yahoo.com:465;%EMAILADDRESS%
live.co.uk;smtp.office365.com:587;%EMAILADDRESS%
gmx.co.uk;mail.gmx.com:587;%EMAILADDRESS%
ntlworld.com;smtp.ntlworld.com:465;%EMAILADDRESS%
cox.net;smtp.cox.net:587;%EMAILADDRESS%
gmx.us;mail.gmx.com:587;%EMAILADDRESS%
rocketmail.com;smtp.mail.yahoo.com:465;%EMAILADDRESS%
charter.net;smtp.charter.net:25;%EMAILADDRESS%
aim.com;smtp.aol.com:465;%EMAILADDRESS%
sbcglobal.net;outbound.att.net:465;%EMAILADDRESS%
att.net;outbound.att.net:465;%EMAILADDRESS%
verizon.net;smtp.verizon.net:465;%EMAILADDRESS%
utanet.at;mail.utanet.at:465;%EMAILADDRESS%
gte.net;smtp.aol.com:587;%EMAILADDRESS%
aol.es;smtp.aol.com:587;%EMAILADDRESS%
epix.net;smtp.frontier.com:465;%EMAILADDRESS%
sunflower.com;smtp.sunflower.com:465;%EMAILADDRESS%
bellatlantic.net;smtp.aol.com:587;%EMAILADDRESS%
adam.com.au;mail.adam.com.au:25;%EMAILADDRESS%
netspeed.com.au;mail.netspeed.com.au:465;%EMAILADDRESS%
pctcnet.net;mail.pctcnet.net:465;%EMAILADDRESS%
caiway.nl;mail.caiway.nl:465;%EMAILADDRESS%
comcen.com.au;smtp.spintel.net.au:587;%EMAILADDRESS%
caiw.nl;mail.caiw.nl:465;%EMAILADDRESS%
asianexperience.com.au;mail.asianexperience.com.au:587;%EMAILADDRESS%
chariot.net.au;mail.chariot.net.au:25;%EMAILADDRESS%
bluesurf.com.au;mail.bluesurf.com.au:465;%EMAILADDRESS%
es.co.nz;smtp.ihug.co.nz:25;%EMAILADDRESS%
westvic.com.au;mail.westvic.com.au:465;%EMAILADDRESS%
alice.de;smtp.alice.de:465;%EMAILADDRESS%
mysoul.com.au;mail.bigpond.com:465;%EMAILADDRESS%
digisurf.com.au;mail.digisurf.com.au:465;%EMAILADDRESS%
glocalnet.net;smtp.glocalnet.net:465;%EMAILADDRESS%
hunterlink.net.au;mail.hunterlink.net.au:25;%EMAILADDRESS%
zip.com.au;mail.zip.com.au:25;%EMAILADDRESS%
pacific.net.au;mail.pacific.net.au:25;%EMAILADDRESS%
eftel.net.au;mail.bigpond.com:465;%EMAILADDRESS%
westnet.com.au;mail.westnet.com.au:587;%EMAILADDRESS%
echidna.id.au;mail.iinet.net.au:587;%EMAILADDRESS%
kolumbus.fi;mail.kolumbus.fi:25;%EMAILADDRESS%
octa4.net.au;mail.m.iinet.net.au:465;%EMAILADDRESS%
teletu.it;smtp.teletu.it:587;%EMAILADDRESS%
nbnet.nb.ca;smtpa.bellaliant.net:2225;%EMAILADDRESS%
sci.fi;mail.sci.fi:25;%EMAILADDRESS%
so-net.ne.jp;mail.so-net.ne.jp:587;%EMAILADDRESS%
tjekket.dk;smtp.jubii.dk:587;%EMAILADDRESS%
hemmelig.dk;smtp.jubii.dk:587;%EMAILADDRESS%
superbruger.dk;smtp.jubii.dk:587;%EMAILADDRESS%
spray.se;smtp.spray.se:587;%EMAILADDRESS%
bahnhof.se;mail.bahnhof.se:25;%EMAILADDRESS%
kth.se;smtp.kth.se:465;%EMAILADDRESS%
mobil.dk;smtp.jubii.dk:587;%EMAILADDRESS%
ugenstilbud.dk;smtp.jubii.dk:587;%EMAILADDRESS%
elvis.dk;smtp.jubii.dk:587;%EMAILADDRESS%
anarki.dk;smtp.jubii.dk:587;%EMAILADDRESS%
forening.dk;smtp.jubii.dk:587;%EMAILADDRESS%
pedal.dk;smtp.jubii.dk:587;%EMAILADDRESS%
grin.dk;smtp.jubii.dk:587;%EMAILADDRESS%
worldonline.dk;smtp.jubii.dk:587;%EMAILADDRESS%
natteliv.dk;smtp.jubii.dk:587;%EMAILADDRESS%
talent.dk;smtp.jubii.dk:587;%EMAILADDRESS%
knus.dk;smtp.jubii.dk:587;%EMAILADDRESS%
indbakke.dk;smtp.jubii.dk:587;%EMAILADDRESS%
sporty.dk;smtp.jubii.dk:587;%EMAILADDRESS%
jyde.dk;smtp.jubii.dk:587;%EMAILADDRESS%
pokerface.dk;smtp.jubii.dk:587;%EMAILADDRESS%
lystig.dk;smtp.jubii.dk:587;%EMAILADDRESS%
quake.dk;smtp.jubii.dk:587;%EMAILADDRESS%
ready.dk;smtp.jubii.dk:587;%EMAILADDRESS%
infile.dk;smtp.jubii.dk:587;%EMAILADDRESS%
video.dk;smtp.jubii.dk:587;%EMAILADDRESS%
taxidriver.dk;smtp.jubii.dk:587;%EMAILADDRESS%
musling.dk;smtp.jubii.dk:587;%EMAILADDRESS%
sleepy.dk;smtp.jubii.dk:587;%EMAILADDRESS%
fald.dk;smtp.jubii.dk:587;%EMAILADDRESS%
tanke.dk;smtp.jubii.dk:587;%EMAILADDRESS%
heaven.dk;smtp.jubii.dk:587;%EMAILADDRESS%
postman.dk;smtp.jubii.dk:587;%EMAILADDRESS%
lazy.dk;smtp.jubii.dk:587;%EMAILADDRESS%
klog.dk;smtp.jubii.dk:587;%EMAILADDRESS%
hardworking.dk;smtp.jubii.dk:587;%EMAILADDRESS%
teens.dk;smtp.jubii.dk:587;%EMAILADDRESS%
bitnisse.dk;smtp.jubii.dk:587;%EMAILADDRESS%
inbound.dk;smtp.jubii.dk:587;%EMAILADDRESS%
cyberdude.dk;smtp.jubii.dk:587;%EMAILADDRESS%
12fuel.dk;smtp.jubii.dk:587;%EMAILADDRESS%
min-postkasse.dk;smtp.jubii.dk:587;%EMAILADDRESS%
gadefejer.dk;smtp.jubii.dk:587;%EMAILADDRESS%
feminin.dk;smtp.jubii.dk:587;%EMAILADDRESS%
traceroute.dk;smtp.jubii.dk:587;%EMAILADDRESS%
pengemand.dk;smtp.jubii.dk:587;%EMAILADDRESS%
vittig.dk;smtp.jubii.dk:587;%EMAILADDRESS%
grov.dk;smtp.jubii.dk:587;%EMAILADDRESS%
dk-online.dk;smtp.jubii.dk:587;%EMAILADDRESS%
maskulin.dk;smtp.jubii.dk:587;%EMAILADDRESS%
waoopost.dk;mail.waoopost.dk:587;%EMAILADDRESS%
elinstallatoer.dk;smtp.jubii.dk:587;%EMAILADDRESS%
123dk.dk;mail.123dk.dk:587;%EMAILADDRESS%
tele.dk;mail.tele.dk:25;%EMAILADDRESS%
ggs.ch;smtp.ggs.ch:465;%EMAILADDRESS%
globalnet.co.uk;mail.globalnet.co.uk:25;%EMAILADDRESS%
freenetname.co.uk;mail.freenetname.co.uk:25;%EMAILADDRESS%
zen.co.uk;mail.zen.co.uk:587;%EMAILADDRESS%
amnet.net.au;mail.amnet.net.au:25;%EMAILADDRESS%
telenet.be;smtp.telenet.be:587;%EMAILADDRESS%
advalvas.be;mail.advalvas.be:25;%EMAILADDRESS%
aei.ca;mail.aei.ca:25;%EMAILADDRESS%
uni.de;mail.uni.de:465;%EMAILADDRESS%
hurontel.on.ca;smtp.hurontel.on.ca:587;%EMAILADDRESS%
vodafone.de;smtp.vodafone.de:465;%EMAILADDRESS%
estvideo.fr;smtp.estvideo.fr:465;%EMAILADDRESS%
numericable.fr;mail.numericable.fr:465;%EMAILADDRESS%
worldonline.fr;mail.worldonline.fr:465;%EMAILADDRESS%
chez.com;mail.chez.com:465;%EMAILADDRESS%
magic.fr;mail.magic.fr:25;%EMAILADDRESS%
ac-versailles.fr;mail.ac-versailles.fr:25;%EMAILADDRESS%
wbs.co.za;mail.wbs.co.za:465;%EMAILADDRESS%
muni.cz;mail.muni.cz:465;%EMAILADDRESS%
vtr.net;mail.vtr.net:587;%EMAILADDRESS%
roverch.fr;mail.roverch.fr:465;%EMAILADDRESS%
vortex.fr;mail.vortex.fr:465;%EMAILADDRESS%
niceavocats.fr;mail.niceavocats.fr:465;%EMAILADDRESS%
evers.fr;smtp.evers.fr:465;%EMAILADDRESS%
mcgill.ca;smtp.mcgill.ca:587;%EMAILADDRESS%
ucb.org.br;smtp.office365.com:587;%EMAILADDRESS%
corsair.fr;smtp.office365.com:587;%EMAILADDRESS%
fischbein.fr;smtp.office365.com:587;%EMAILADDRESS%
vista.aero;smtp.office365.com:587;%EMAILADDRESS%
rogers.com;smtp.broadband.rogers.com:465;%EMAILADDRESS%
knology.net;smtp.knology.net:587;%EMAILADDRESS%
yahoo.lv;smtp.mail.yahoo.com:465;%EMAILADDRESS%
yahoo.no;smtp.mail.yahoo.com:465;%EMAILADDRESS%
yahoo.pl;smtp.mail.yahoo.com:465;%EMAILADDRESS%
free.net.nz;smtp.free.net.nz:465;%EMAILADDRESS%
actrix.co.nz;smtp.actrix.co.nz:465;%EMAILADDRESS%
kol.co.nz;mail.orcon.net.nz:587;%EMAILADDRESS%
farmside.co.nz;smtp.farmside.co.nz:465;%EMAILADDRESS%
e3.net.nz;mail.e3.net.nz:587;%EMAILADDRESS%
caiway.net;smtp.caiway.net:465;%EMAILADDRESS%
bresnan.net;mail.bresnan.net:465;%EMAILADDRESS%
insightbb.com;mail.insightbb.com:465;%EMAILADDRESS%
wowway.com;smtpauth.mail.wowway.com:587;%EMAILADDRESS%
juno.com;smtp.juno.com:465;%EMAILADDRESS%
optonline.net;mail.optonline.net:465;%EMAILADDRESS%
yahoo.co.kr;smtp.mail.yahoo.com:465;%EMAILADDRESS%
yahoo.co.th;smtp.mail.yahoo.com:465;%EMAILADDRESS%
yahoo.co.za;smtp.mail.yahoo.com:465;%EMAILADDRESS%
yahoo.gr;smtp.mail.yahoo.com:465;%EMAILADDRESS%
yahoo.dk;smtp.mail.yahoo.com:465;%EMAILADDRESS%
yahoo.cz;smtp.mail.yahoo.com:465;%EMAILADDRESS%
yahoo.ee;smtp.mail.yahoo.com:465;%EMAILADDRESS%
yahoo.ro;smtp.mail.yahoo.com:465;%EMAILADDRESS%
yahoo.in;smtp.mail.yahoo.com:465;%EMAILADDRESS%
yahoo.ie;smtp.mail.yahoo.com:465;%EMAILADDRESS%
yahoo.hu;smtp.mail.yahoo.com:465;%EMAILADDRESS%
f-m.fm;smtp.fastmail.com:587;%EMAILADDRESS%
fmgirl.com;smtp.fastmail.com:587;%EMAILADDRESS%
ftml.net;smtp.fastmail.com:587;%EMAILADDRESS%
inoutbox.com;smtp.fastmail.com:587;%EMAILADDRESS%
ml1.net;smtp.fastmail.com:587;%EMAILADDRESS%
imap.cc;smtp.fastmail.com:587;%EMAILADDRESS%
mm.st;smtp.fastmail.com:587;%EMAILADDRESS%
letterboxes.org;smtp.fastmail.com:587;%EMAILADDRESS%
postpro.net;smtp.fastmail.com:587;%EMAILADDRESS%
petml.com;smtp.fastmail.com:587;%EMAILADDRESS%
postinbox.com;smtp.fastmail.com:587;%EMAILADDRESS%
promessage.com;smtp.fastmail.com:587;%EMAILADDRESS%
proinbox.com;smtp.fastmail.com:587;%EMAILADDRESS%
reallyfast.biz;smtp.fastmail.com:587;%EMAILADDRESS%
rushpost.com;smtp.fastmail.com:587;%EMAILADDRESS%
speedpost.net;smtp.fastmail.com:587;%EMAILADDRESS%
veryfast.biz;smtp.fastmail.com:587;%EMAILADDRESS%
sent.com;smtp.fastmail.com:587;%EMAILADDRESS%
sent.as;smtp.fastmail.com:587;%EMAILADDRESS%
the-fastest.net;smtp.fastmail.com:587;%EMAILADDRESS%
reallyfast.info;smtp.fastmail.com:587;%EMAILADDRESS%
139.com;smtp.139.com:465;%EMAILADDRESS%
caress.com;smtp.mail.com:587;%EMAILADDRESS%
chemist.com;smtp.mail.com:587;%EMAILADDRESS%
1and1.co.uk;auth.smtp.1and1.co.uk:587;%EMAILADDRESS%
1and1.com;smtp.1and1.com:587;%EMAILADDRESS%
1and1.fr;auth.smtp.1and1.fr:587;%EMAILADDRESS%
go4more.de;smtp.1und1.de:587;%EMAILADDRESS%
kundenserver.de;smtp.1und1.de:587;%EMAILADDRESS%
21cn.com;smtp.21cn.com:465;%EMAILADDRESS%
munich.com;smtp.mail.com:587;%EMAILADDRESS%
netzero.com;authsmtp.netzero.com:587;%EMAILADDRESS%
263.net;smtp.263.net:465;%EMAILADDRESS%
295.ca;mail.295.ca:465;%EMAILADDRESS%
photographer.net;smtp.mail.com:587;%EMAILADDRESS%
accountant.com;smtp.mail.com:587;%EMAILADDRESS%
adexec.com;smtp.mail.com:587;%EMAILADDRESS%
popstar.com;smtp.mail.com:587;%EMAILADDRESS%
presidency.com;smtp.mail.com:587;%EMAILADDRESS%
2die4.com;smtp.mail.com:587;%EMAILADDRESS%
artlover.com;smtp.mail.com:587;%EMAILADDRESS%
atheist.com;smtp.mail.com:587;%EMAILADDRESS%
angelic.com;smtp.mail.com:587;%EMAILADDRESS%
amorous.com;smtp.mail.com:587;%EMAILADDRESS%
archaeologist.com;smtp.mail.com:587;%EMAILADDRESS%
bartender.net;smtp.mail.com:587;%EMAILADDRESS%
berlin.com;smtp.mail.com:587;%EMAILADDRESS%
bigger.com;smtp.mail.com:587;%EMAILADDRESS%
bikerider.com;smtp.mail.com:587;%EMAILADDRESS%
birdlover.com;smtp.mail.com:587;%EMAILADDRESS%
brew-master.com;smtp.mail.com:587;%EMAILADDRESS%
catlover.com;smtp.mail.com:587;%EMAILADDRESS%
chef.net;smtp.mail.com:587;%EMAILADDRESS%
blader.com;smtp.mail.com:587;%EMAILADDRESS%
comic.com;smtp.mail.com:587;%EMAILADDRESS%
cheerful.com;smtp.mail.com:587;%EMAILADDRESS%
clerk.com;smtp.mail.com:587;%EMAILADDRESS%
collector.org;smtp.mail.com:587;%EMAILADDRESS%
consultant.com;smtp.mail.com:587;%EMAILADDRESS%
yours.com;smtp.mail.com:587;%EMAILADDRESS%
computer4u.com;smtp.mail.com:587;%EMAILADDRESS%
cliffhanger.com;smtp.mail.com:587;%EMAILADDRESS%
columnist.com;smtp.mail.com:587;%EMAILADDRESS%
couple.com;smtp.mail.com:587;%EMAILADDRESS%
cyberdude.com;smtp.mail.com:587;%EMAILADDRESS%
deliveryman.com;smtp.mail.com:587;%EMAILADDRESS%
dr.com;smtp.mail.com:587;%EMAILADDRESS%
dublin.com;smtp.mail.com:587;%EMAILADDRESS%
doglover.com;smtp.mail.com:587;%EMAILADDRESS%
elvisfan.com;smtp.mail.com:587;%EMAILADDRESS%
europe.com;smtp.mail.com:587;%EMAILADDRESS%
engineer.com;smtp.mail.com:587;%EMAILADDRESS%
execs.com;smtp.mail.com:587;%EMAILADDRESS%
financier.com;smtp.mail.com:587;%EMAILADDRESS%
feelings.com;smtp.mail.com:587;%EMAILADDRESS%
fireman.net;smtp.mail.com:587;%EMAILADDRESS%
gardener.com;smtp.mail.com:587;%EMAILADDRESS%
geologist.com;smtp.mail.com:587;%EMAILADDRESS%
hairdresser.net;smtp.mail.com:587;%EMAILADDRESS%
graphic-designer.com;smtp.mail.com:587;%EMAILADDRESS%
hilarious.com;smtp.mail.com:587;%EMAILADDRESS%
hot-shot.com;smtp.mail.com:587;%EMAILADDRESS%
humanoid.net;smtp.mail.com:587;%EMAILADDRESS%
inorbit.com;smtp.mail.com:587;%EMAILADDRESS%
innocent.com;smtp.mail.com:587;%EMAILADDRESS%
instruction.com;smtp.mail.com:587;%EMAILADDRESS%
instructor.net;smtp.mail.com:587;%EMAILADDRESS%
london.com;smtp.mail.com:587;%EMAILADDRESS%
lovecat.com;smtp.mail.com:587;%EMAILADDRESS%
mindless.com;smtp.mail.com:587;%EMAILADDRESS%
monarchy.com;smtp.mail.com:587;%EMAILADDRESS%
myself.com;smtp.mail.com:587;%EMAILADDRESS%
muslim.com;smtp.mail.com:587;%EMAILADDRESS%
pacificwest.com;smtp.mail.com:587;%EMAILADDRESS%
petlover.com;smtp.mail.com:587;%EMAILADDRESS%
poetic.com;smtp.mail.com:587;%EMAILADDRESS%
priest.com;smtp.mail.com:587;%EMAILADDRESS%
playful.com;smtp.mail.com:587;%EMAILADDRESS%
